icao24,callsign,src,dest,avg_velocity,avg_geo_altitude,max_geo_altitude,min_geo_altitude,num_state_updates
a636b0,N5QV    ,,,30.97886140884288,494.7103390505709,624.84,358.14,7230135
a802c0,EJA615  ,,,213.69314083194683,12946.134852546082,12992.1,12893.04,1637097
a12eb8,N1754V  ,,,50.26139921949147,1278.2646420825506,1341.1200000000001,998.2200000000001,1250232
a01b95,N106GA  ,,,85.59877213995104,1517.5598169838984,2125.98,266.7,142064
a4b1da,N401RL  ,,,128.59700482417998,3200.1899741601633,6941.820000000001,213.36,1854144
ad2b43,DAL1074 ,,,147.65301562994975,3625.7391381215407,8663.94,266.7,25614
ad35cc,MTU50   ,,,53.163439780039226,955.4906451612944,1097.28,861.0600000000001,64542
a10fff,N168GC  ,,,240.1416779606287,14026.140029674178,14241.78,12717.78,1008450
ab1195,VET812  ,,,112.89436049002245,1731.3396183205828,28133.04,701.0400000000001,117216
ace723,N930RC  ,,,151.50504544022667,7835.036471137646,37261.8,4472.9400000000005,701306
a28df2,N264B   ,,,60.76837508972328,1393.821675392678,4800.6,388.62,142290
a107fb,N166AC  ,,,62.05615651455231,1120.5942335766415,1714.5,381.0,604170
a4fcd4,N420NJ  ,,,212.02439449523504,6140.232841981069,9037.320000000002,236.22,311815
a10341,FFL1453 ,,,255.19849762838635,11440.435641255599,23576.28,9227.820000000002,175055
aa32cc,N75608  ,,,49.617146941306416,804.9148906560691,35897.82,182.88,83980
a3bcfb,N34WT   ,,,41.822910700669865,655.7033116380287,1196.3400000000001,266.70000000000005,2864540
aaafda,N788SM  ,,,92.9597033434261,3415.5940942928232,15240.000000000002,1257.3,467253
a685f0,N5195L  ,,,95.43589886954855,1847.4245177665807,2819.4,944.8800000000001,151296
a22771,ENY3690 ,,,213.20788243240537,10364.355983876885,36141.66,10012.68,8199
a37e80,EDV5040 ,,,83.4132237594688,1175.238461538462,1181.1000000000001,1165.8600000000001,1547
a2a1a5,ENY3930 ,,,218.3983303933932,10730.080480538149,10843.26,2324.1000000000004,31290
ac6cf7,N90BL   ,,,170.66068496620505,5049.67436215456,25717.5,449.58000000000004,452640
0d0a9a,AMX022  ,,,203.4149324368926,12065.696650485537,12108.180000000002,6918.960000000001,25998
ab40f8,DAL14   ,KATL,EDDF,236.72383688883667,5515.491369627511,9631.68,274.32,4632
abd57e,SWA3797 ,,,112.63326294037478,3525.252102834511,7429.500000000001,274.32000000000005,10425
ab39e3,SKW3852 ,,,109.22831149085796,2651.2127642276273,4975.860000000001,274.32,62146
a272b8,ENY3618 ,,,203.36790609374114,10167.421885913904,10447.02,9601.2,15474
4d20d7,VJT842  ,MROC,LFPB,284.1325826335498,13006.44957303368,13022.580000000002,12976.86,445
aa5d60,N767UW  ,,,,,,,102210
a0dadb,UPS1301 ,,,181.02447383704035,5858.431780515134,9296.400000000001,266.70000000000005,21300
4d20d7,VJT842  ,KOAK,EFHK,284.1325826335504,13006.449573033713,13022.580000000002,12976.86,1780
a716ee,JIA5344 ,,,147.01141245758953,2497.1364856230016,3886.2000000000003,723.9000000000001,4695
aa7e7a,UAL1219 ,,,208.68422976428192,9417.375281114844,9502.14,6423.66,4168
a3fb94,N356F   ,EGPK,BIRK,138.39051280066445,7907.888147438831,8595.36,4808.22,6280
a700a4,JIA5320 ,,,86.06409098976475,1156.9429787234014,1158.24,1150.62,376
a98909,AAL1866 ,,,284.1937386292763,11083.593695652195,11117.580000000002,11049.0,552
a91d8e,DAL329  ,,,114.18340544083739,2656.465512820496,6347.46,274.32,4332
acf89f,DAL2179 ,,,160.60576844160178,5200.102042881,7505.700000000001,274.32,11102
ad03c4,DAL2778 ,,,110.30420640301215,2745.472918454933,6880.86,266.70000000000005,11016
a71ded,JBU1390 ,,,237.24401946615183,8581.59710769229,9212.58,6850.380000000001,1300
a422f7,DAL1060 ,,,138.95205348796836,2771.8556906077365,5288.280000000001,266.7,2910
a2e57e,ENY3404 ,,,185.7029064006783,10768.48067796602,10782.300000000001,10759.44,1770
a49206,DAL456  ,,,138.0335323292048,4140.291907894796,7467.6,274.32000000000005,6135
a38c60,DAL32   ,,,105.39763835348487,2163.609352941176,4465.320000000001,281.94,3442
ab7b8c,UAL675  ,,,172.21107984741195,8687.731333333222,9380.220000000001,5692.14,6489
