time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,serials,hour
1705254919,a00345,33.5701904296875,-85.09253054249041,280.06267101674996,59.90265423903113,0.0,N10KJ   ,False,False,False,,11887.2,11971.02,1705254918.749,1705254918.914,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254920,a00345,33.57142639160156,-85.08995211854273,280.06267101674996,59.90265423903113,0.0,N10KJ   ,False,False,False,,11879.58,11963.4,1705254919.732,1705254919.732,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254921,a00345,33.57270812988281,-85.08731764190048,280.06267101674996,59.90265423903113,0.32512,N10KJ   ,False,False,False,,11879.58,11971.02,1705254920.525,1705254920.783,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254922,a00345,33.57407909328654,-85.08447647094727,280.2506582390708,60.0463918321985,0.32512,N10KJ   ,False,False,False,,11879.58,11971.02,1705254921.838,1705254921.838,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254923,a00345,33.575336003707626,-85.08184432983398,280.2506582390708,60.0463918321985,0.32512,N10KJ   ,False,False,False,,11879.58,11971.02,1705254922.984,1705254922.984,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254924,a00345,33.57673645019531,-85.07896579041773,280.2506582390708,60.0463918321985,0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254923.889,1705254923.889,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254925,a00345,33.578129137976696,-85.07612228393555,280.2506582390708,60.0463918321985,0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254924.988,1705254924.988,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254926,a00345,33.57948303222656,-85.07324841557715,280.2506582390708,60.0463918321985,0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254925.989,1705254925.989,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254927,a00345,33.580642958818856,-85.07091522216797,280.2506582390708,60.0463918321985,0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254926.93,1705254926.944,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254928,a00345,33.58204650878906,-85.06803551498723,280.2506582390708,60.0463918321985,0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254927.993,1705254927.994,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254929,a00345,33.58315677966102,-85.0656509399414,280.2506582390708,60.0463918321985,0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254928.972,1705254928.972,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254930,a00345,33.58428955078125,-85.06332708864795,280.2506582390708,60.0463918321985,0.0,N10KJ   ,False,False,False,,11887.2,11971.02,1705254929.953,1705254929.953,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254931,a00345,33.58552551269531,-85.06069261200571,280.2506582390708,60.0463918321985,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254930.909,1705254930.909,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254932,a00345,33.58680725097656,-85.05811418805803,280.2506582390708,60.0463918321985,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254931.954,1705254931.954,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254933,a00345,33.58808898925781,-85.05547971141579,280.2506582390708,60.0463918321985,-0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254932.821,1705254932.821,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254934,a00345,33.589324951171875,-85.0528452347736,280.2506582390708,60.0463918321985,-0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254933.977,1705254933.977,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254935,a00345,33.59046548099841,-85.05048751831055,280.5078735549353,59.955348251640714,-0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254934.813,1705254934.813,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408236409, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254936,a00345,33.59172239141949,-85.04791259765625,280.5078735549353,59.955348251640714,-0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254935.796,1705254935.796,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408236409, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254937,a00345,33.59312438964844,-85.04505391023594,280.9533125998786,60.00787522051073,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254936.923,1705254936.94,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408236409, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254938,a00345,33.59451552568856,-85.04213333129883,280.9533125998786,60.00787522051073,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254937.964,1705254937.964,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408236409, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254939,a00345,33.59564208984375,-85.03978495695151,280.6965054609087,60.098822351904865,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254938.971,1705254938.971,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408236409, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254940,a00345,33.59687805175781,-85.03720653300383,280.6965054609087,60.098822351904865,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254939.927,1705254939.927,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408236409, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254941,a00345,33.59805349576271,-85.03480911254883,280.6965054609087,60.098822351904865,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254940.821,1705254940.821,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254942,a00345,33.59944152832031,-85.0319375797194,280.9533125998786,60.00787522051073,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254941.852,1705254941.864,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254943,a00345,33.600677490234375,-85.02935915577166,280.9533125998786,60.00787522051073,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254942.864,1705254942.991,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254944,a00345,33.601959228515625,-85.02672467912947,280.9533125998786,60.00787522051073,0.0,N10KJ   ,False,False,False,,11879.58,11963.4,1705254943.973,1705254943.973,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254945,a00345,33.603313898636124,-85.02382278442383,280.9533125998786,60.00787522051073,0.32512,N10KJ   ,False,False,False,,11879.58,11971.02,1705254944.941,1705254944.941,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254946,a00345,33.603313898636124,-85.02382278442383,280.9533125998786,60.00787522051073,0.32512,N10KJ   ,False,False,False,,11879.58,11971.02,1705254945.046,1705254945.894,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254947,a00345,33.60575866699219,-85.0188773018973,280.9533125998786,60.00787522051073,0.32512,N10KJ   ,False,False,False,,11879.58,11971.02,1705254946.858,1705254946.858,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254948,a00345,33.60699462890625,-85.01624282525512,280.9533125998786,60.00787522051073,0.65024,N10KJ   ,False,False,False,,11879.58,11971.02,1705254947.993,1705254947.993,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254949,a00345,33.60699462890625,-85.01624282525512,280.9533125998786,60.00787522051073,0.65024,N10KJ   ,False,False,False,,11879.58,11971.02,1705254947.993,1705254948.832,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254950,a00345,33.60877990722656,-85.01259940011158,280.6965054609087,60.098822351904865,0.65024,N10KJ   ,False,False,False,,11887.2,11978.640000000001,1705254949.193,1705254949.98,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254951,a00345,33.610015869140625,-85.0099649234694,280.6965054609087,60.098822351904865,0.32512,N10KJ   ,False,False,False,,11887.2,11978.640000000001,1705254950.347,1705254950.801,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254952,a00345,33.61192606263241,-85.00602722167969,280.6965054609087,60.098822351904865,0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254951.872,1705254951.872,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254953,a00345,33.6131829730535,-85.00345230102539,280.6965054609087,60.098822351904865,0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254952.97,1705254952.97,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254954,a00345,33.614439883474574,-85.00082015991211,281.1425869870265,60.15108653501565,0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254953.969,1705254953.969,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254955,a00345,33.61582946777344,-84.9979135941486,281.1425869870265,60.15108653501565,0.0,N10KJ   ,False,False,False,,11887.2,11971.02,1705254954.887,1705254954.887,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254956,a00345,33.6170654296875,-84.99527911750636,281.1425869870265,60.15108653501565,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254955.813,1705254955.941,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254957,a00345,33.61834716796875,-84.99270069355867,281.1425869870265,60.15108653501565,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254956.984,1705254956.984,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254958,a00345,33.619467525158896,-84.99034881591797,281.1425869870265,60.15108653501565,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254957.789,1705254957.947,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254959,a00345,33.62072443557998,-84.98771667480469,281.1425869870265,60.15108653501565,-0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254958.744,1705254958.95,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254960,a00345,33.62214660644531,-84.984797263632,281.3989870284484,60.06023585081918,-0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254959.886,1705254959.886,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254961,a00345,33.62328480865995,-84.98245239257812,281.3989870284484,60.06023585081918,-0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254960.929,1705254960.929,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254962,a00345,33.62454171908104,-84.97982025146484,281.3989870284484,60.06023585081918,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254961.736,1705254961.808,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254963,a00345,33.625798629502114,-84.97718811035156,281.3989870284484,60.06023585081918,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254962.835,1705254962.835,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254964,a00345,33.62718200683594,-84.97431540975765,281.3989870284484,60.06023585081918,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254963.928,1705254963.928,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254965,a00345,33.62859176377118,-84.97146606445312,281.3989870284484,60.06023585081918,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254964.983,1705254964.983,"[-1408235760, -1408236145, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254966,a00345,33.62984867419227,-84.96883392333984,281.3989870284484,60.06023585081918,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254965.912,1705254965.969,"[-1408235760, -1408236145, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408236409, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254967,a00345,33.63121032714844,-84.9659635582749,281.3989870284484,60.06023585081918,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254966.996,1705254966.996,"[-1408235760, -1408236145, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408229581, -1408236409, -1408233905, -1408231138, -1408230419, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
